№,Название,Авторы,Журнал,Выпуск,Дата публикации,Ссылка
52,Women inScience,Jacob Clark Blickenstaff,N/A,N/A,First published:21 April 2016,https://onlinelibrary.wiley.com/doi/10.1002/9781118663219.wbegss551
53,Scienceacademies issue statement aboutscienceand sustainable development,Randy Showstack,"Eos, Transactions American Geophysical Union","Volume 94, Issue 24",First published:11 June 2013,https://onlinelibrary.wiley.com/doi/10.1002/2013EO240005
54,UnderstandingScience: The Armchair versus Practice,,N/A,N/A,First published:01 January 2006,https://onlinelibrary.wiley.com/doi/10.1002/9780470773994.ch1
55,"Art,scienceand socialsciencein nursing: occupational origins and disciplinary identity",Anne Marie Rafferty,Nursing Inquiry,"Volume 2, Issue 3",First published:September 1995,https://onlinelibrary.wiley.com/doi/10.1111/j.1440-1800.1995.tb00164.x
56,From “Religion andScience” to “KalamandScience”,Basit Bilal Koshul,Dialog,"Volume 46, Issue 3",First published:30 September 2007,https://onlinelibrary.wiley.com/doi/10.1111/j.1540-6385.2007.00333.x
57,VALUES INSCIENCE,Ernan McMullin,Zygon®,"Volume 47, Issue 4",First published:20 November 2012,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-9744.2012.01298.x
58,"Science, Greek",Paul T. Keyser,N/A,N/A,First published:20 December 2019,https://onlinelibrary.wiley.com/doi/10.1002/9781444338386.wbeah21287.pub2
59,"“SCIENCE,” “RELIGION,” AND “SCIENCE-AND-RELIGION” IN THE LATE OTTOMAN EMPIRE",M. Alper Yalçinkaya,Zygon®,"Volume 54, Issue 4",First published:13 November 2019,https://onlinelibrary.wiley.com/doi/10.1111/zygo.12563
60,"Science, Roman",Daryn Lehoux,N/A,N/A,First published:30 January 2023,https://onlinelibrary.wiley.com/doi/10.1002/9781444338386.wbeah21290.pub2
61,Science,,N/A,N/A,First published:22 December 2008,https://onlinelibrary.wiley.com/doi/10.1002/9781118266571.ch6
62,"Science, the Media, and Interpretations of Upper Paleolithic Figurines","April Nowell, Melanie L. Chang",American Anthropologist,"Volume 116, Issue 3",First published:26 August 2014,https://onlinelibrary.wiley.com/doi/10.1111/aman.12121
63,Science,W. E. Boyd,N/A,N/A,First published:28 January 2016,https://onlinelibrary.wiley.com/doi/10.1002/9781119076506.wbeps320
64,The Dialogue BetweenScienceand Society,,N/A,N/A,First published:07 June 2024,https://onlinelibrary.wiley.com/doi/10.1002/9781394299003.ch1
65,Belief inScience-Related Conspiracy Theories,"Shane Littrell, Amanda Diekman, Michelle Seelig, Kamal Premaratne, Stefan Wuchty, Daniel Verdear, Casey A. Klofstad, Joseph Uscinski",Journal of Social Issues,"Volume 81, Issue 1",First published:16 March 2025,https://onlinelibrary.wiley.com/doi/10.1111/josi.70004
66,DIVINE DNA? “SECULAR” AND “RELIGIOUS” REPRESENTATIONS OFSCIENCEIN NONFICTIONSCIENCETELEVISION PROGRAMS,Will Mason-Wilkes,Zygon®,"Volume 55, Issue 1",First published:19 February 2020,https://onlinelibrary.wiley.com/doi/10.1111/zygo.12574
67,Science,Ralph O'Connor,N/A,N/A,First published:05 February 2021,https://onlinelibrary.wiley.com/doi/10.1002/9781119092797.ch28
68,Science,Roger A. Willer,N/A,N/A,First published:20 June 2022,https://onlinelibrary.wiley.com/doi/10.1002/9781118499528.ch133
69,Thescienceof intentions and the intentions ofscience,Polly Young-Eisendrath,Psychotherapy and Politics International,"Volume 1, Issue 2",First published:13 February 2006,https://onlinelibrary.wiley.com/doi/10.1002/ppi.58
70,Science,Teresa A. Sullivan,N/A,N/A,First published:31 October 2021,https://onlinelibrary.wiley.com/doi/10.1002/9781405165518.wbeoss036.pub2
71,Scienceand the Military,F. A. Long,N/A,N/A,First published:01 January 1972,https://onlinelibrary.wiley.com/doi/10.1002/9780470719848.ch9
72,Women inScience,Jacob Clark Blickenstaff,N/A,N/A,First published:21 April 2016,https://onlinelibrary.wiley.com/doi/10.1002/9781118663219.wbegss551
73,Scienceacademies issue statement aboutscienceand sustainable development,Randy Showstack,"Eos, Transactions American Geophysical Union","Volume 94, Issue 24",First published:11 June 2013,https://onlinelibrary.wiley.com/doi/10.1002/2013EO240005
74,UnderstandingScience: The Armchair versus Practice,,N/A,N/A,First published:01 January 2006,https://onlinelibrary.wiley.com/doi/10.1002/9780470773994.ch1
75,"Art,scienceand socialsciencein nursing: occupational origins and disciplinary identity",Anne Marie Rafferty,Nursing Inquiry,"Volume 2, Issue 3",First published:September 1995,https://onlinelibrary.wiley.com/doi/10.1111/j.1440-1800.1995.tb00164.x
76,From “Religion andScience” to “KalamandScience”,Basit Bilal Koshul,Dialog,"Volume 46, Issue 3",First published:30 September 2007,https://onlinelibrary.wiley.com/doi/10.1111/j.1540-6385.2007.00333.x
77,VALUES INSCIENCE,Ernan McMullin,Zygon®,"Volume 47, Issue 4",First published:20 November 2012,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-9744.2012.01298.x
78,"Science, Greek",Paul T. Keyser,N/A,N/A,First published:20 December 2019,https://onlinelibrary.wiley.com/doi/10.1002/9781444338386.wbeah21287.pub2
79,"“SCIENCE,” “RELIGION,” AND “SCIENCE-AND-RELIGION” IN THE LATE OTTOMAN EMPIRE",M. Alper Yalçinkaya,Zygon®,"Volume 54, Issue 4",First published:13 November 2019,https://onlinelibrary.wiley.com/doi/10.1111/zygo.12563
80,"Science, Roman",Daryn Lehoux,N/A,N/A,First published:30 January 2023,https://onlinelibrary.wiley.com/doi/10.1002/9781444338386.wbeah21290.pub2
81,ScienceJournalism,Holger Wormer,N/A,N/A,First published:23 November 2009,https://onlinelibrary.wiley.com/doi/10.1002/9781405186407.wbiecs016
82,"Geography's other histories? Geography andsciencein the British Association for the Advancement ofScience, 1831–c.1933","Charles W J Withers, Diarmid Finnegan, Rebekah Higgitt",Transactions of the Institute of British Geographers,"Volume 31, Issue 4",First published:10 November 2006,https://onlinelibrary.wiley.com/doi/10.1111/j.1475-5661.2006.00231.x
83,Beschichtungen für LifeScience,"Volker Bucher Dr., Wilfried Nisch Dr.",Vakuum in Forschung und Praxis,"Volume 22, Issue 1",First published:09 February 2010,https://onlinelibrary.wiley.com/doi/10.1002/vipr.201000405
84,"SCIENCEAND RELIGION AS LANGUAGES: UNDERSTANDING THESCIENCE–RELIGION RELATIONSHIP USING METAPHORS, ANALOGIES, AND MODELS",Amy H. Lee,Zygon®,"Volume 54, Issue 4",First published:13 November 2019,https://onlinelibrary.wiley.com/doi/10.1111/zygo.12569
85,"A comparison of elementary teachers' verbal supports for students in inclusive and general classroom contexts during an NGSS-alignedscience, engineering, and computerscienceunit","Sarah Lilly, Anne M. McAlister, Sarah J. Fick, Jennifer L. Chiu",ScienceEducation,"Volume 107, Issue 4",First published:17 February 2023,https://onlinelibrary.wiley.com/doi/10.1002/sce.21788
86,Realist Philosophies ofScience,Guy Gibbon,N/A,N/A,First published:05 December 2018,https://onlinelibrary.wiley.com/doi/10.1002/9781119188230.saseas0498
87,Scienceand the Pulpit: Clerical Perspectives onScienceand Religion in the United States,"Shiri Noy, Timothy L. O'Brien",Journal for the Scientific Study of Religion,"Volume 63, Issue 3",First published:21 April 2024,https://onlinelibrary.wiley.com/doi/10.1111/jssr.12917
88,ScienceFiction,Michael R. Page,N/A,N/A,First published:12 April 2012,https://onlinelibrary.wiley.com/doi/10.1002/9781118300916.wberls004
89,Incorporating an engineering context intosciencelearning: The effects of task context and response structuring onscienceunderstanding and investigation behaviors in a simulation,"Yang Jiang, Debra Brockway, Jung Aa Moon",Journal of Research inScienceTeaching,"Volume 60, Issue 6",First published:14 November 2022,https://onlinelibrary.wiley.com/doi/10.1002/tea.21832
90,Science,Alan Rauch,N/A,N/A,First published:14 August 2015,https://onlinelibrary.wiley.com/doi/10.1002/9781118405376.wbevl319
91,“RATIONALITY” INSCIENCEAND MORALS,Mary Hesse,Zygon®,"Volume 23, Issue 3",First published:September 1988,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-9744.1988.tb00636.x
92,Feminist Studies ofScience,Letitia Meynell,N/A,N/A,First published:21 April 2016,https://onlinelibrary.wiley.com/doi/10.1002/9781118663219.wbegss031
93,Science,Irma Taavitsainen,N/A,N/A,First published:01 January 2002,https://onlinelibrary.wiley.com/doi/10.1002/9780470693469.ch23
94,Science,,N/A,N/A,First published:08 June 2009,https://onlinelibrary.wiley.com/doi/10.1002/9781118266724.ch5
95,The MaterialsScienceInterface at an Interdisciplinary Journal,"I. Osborne, P. Szuromi, J. Uppenbrink",Advanced Materials,"Volume 12, Issue 14",First published:13 July 2000,https://onlinelibrary.wiley.com/doi/10.1002/1521-4095%28200007%2912%3A14%3C1015%3A%3AAID-ADMA1015%3E3.0.CO%3B2-7
96,Adapting the Ideas of TranslationalSciencefor Translational FamilyScience,"Joseph G. Grzywacz, Jeffrey W. Allen",Family Relations,"Volume 66, Issue 4",First published:15 December 2017,https://onlinelibrary.wiley.com/doi/10.1111/fare.12284
97,Exploring the impact of an intervention on pre-servicescienceteachers' attitudes and beliefs about gender and sexual diversity-inclusivescienceteaching,"Gary William Wright, Cesar Delgado, K. Rende Mendoza",Journal of Research inScienceTeaching,"Volume 61, Issue 8",First published:16 April 2024,https://onlinelibrary.wiley.com/doi/10.1002/tea.21942
98,"Science, Mesopotamian",Mathieu Ossendrijver,N/A,N/A,First published:26 October 2012,https://onlinelibrary.wiley.com/doi/10.1002/9781444338386.wbeah21289
99,Realising the Potential of European AgriculturalScienceImpacts,Peter Midmore,EuroChoices,"Volume 17, Issue 1",First published:11 April 2018,https://onlinelibrary.wiley.com/doi/10.1111/1746-692X.12179
100,The effect of online collaboration on middle school studentsciencemisconceptions as an aspect ofscienceliteracy,"Jillian L. Wendt, Amanda Rockinson-Szapkiw",Journal of Research inScienceTeaching,"Volume 51, Issue 9",First published:11 August 2014,https://onlinelibrary.wiley.com/doi/10.1002/tea.21169
101,A Guide to International HydrologicSciencePrograms,"R G Lawford, S Eden",N/A,N/A,First published:15 April 2006,https://onlinelibrary.wiley.com/doi/10.1002/0470848944.hsa214
102,"Reforming Theology, ReframingScience","Ann Milliken Pederson, Philip Hefner",Dialog,"Volume 46, Issue 3",First published:30 September 2007,https://onlinelibrary.wiley.com/doi/10.1111/j.1540-6385.2007.00331.x
103,Scienceand Revolution,Clifford D. Conner,N/A,N/A,First published:20 April 2009,https://onlinelibrary.wiley.com/doi/10.1002/9781405198073.wbierp1319
104,FeministScienceStudies,"Samantha M. Archer, A.E. Kohler",N/A,N/A,First published:27 November 2020,https://onlinelibrary.wiley.com/doi/10.1002/9781119314967.ch14
105,Expectancy-value and children'sscienceachievement: Parents matter,"Julie A. Thomas, Kamden K. Strunk",Journal of Research inScienceTeaching,"Volume 54, Issue 6",First published:03 February 2017,https://onlinelibrary.wiley.com/doi/10.1002/tea.21382
106,Paradoxes ofscienceas a system: (Fragments from the philosophy ofscience),Thomas A. Cowan,Systems Research,"Volume 7, Issue 2",First published:June 1990,https://onlinelibrary.wiley.com/doi/10.1002/sres.3850070201
107,Standing on the shoulders ofscience,"Joshua L. Krieger, Monika Schnitzer, Martin Watzinger",Strategic Management Journal,"Volume 45, Issue 9",First published:25 March 2024,https://onlinelibrary.wiley.com/doi/10.1002/smj.3598
108,Performing?Science?,,Nachrichten aus der Chemie,"Volume 59, Issue 12",First published:03 January 2012,https://onlinelibrary.wiley.com/doi/10.1002/nadc.201290010
109,(When) should psychology be ascience?,Dario Krpan,Journal for the Theory of Social Behaviour,"Volume 52, Issue 1",First published:21 July 2021,https://onlinelibrary.wiley.com/doi/10.1111/jtsb.12316
110,ScienceAcross Cultures,Carlos Hiroo Saito,N/A,N/A,First published:22 April 2020,https://onlinelibrary.wiley.com/doi/10.1002/9781405165518.wbeoss039.pub2
111,Scienceand Technology,Katy Price,N/A,N/A,First published:28 March 2014,https://onlinelibrary.wiley.com/doi/10.1002/9781118604427.ch6
112,"Medical students' attitudes towardsscienceand gross anatomy, and the relationship to personality","Odile Plaisant, Shiby Stephens, Nihal Apaydin, Robert Courtois, Baptiste Lignier, Marios Loukas, Bernard Moxham",Journal of Anatomy,"Volume 224, Issue 3",First published:18 April 2013,https://onlinelibrary.wiley.com/doi/10.1111/joa.12043
113,Introducing undergraduate students toscience,"Paulo De Ávila, Bayardo B. Torres",Biochemistry and Molecular Biology Education,"Volume 38, Issue 2",First published:12 March 2010,https://onlinelibrary.wiley.com/doi/10.1002/bmb.20335
114,"Sciencewriters, male",Daniel Bivona,N/A,N/A,First published:14 August 2015,https://onlinelibrary.wiley.com/doi/10.1002/9781118405376.wbevl290
115,Analysis of Religious Bias among Christian Students inScience,"Paula A. G. Soneral, Sara E. Brownell, M. Elizabeth Barnes",Journal for the Scientific Study of Religion,"Volume 62, Issue 1",First published:02 February 2023,https://onlinelibrary.wiley.com/doi/10.1111/jssr.12825
116,Science,,N/A,N/A,First published:20 December 2013,https://onlinelibrary.wiley.com/doi/10.1002/9781118650158.ch11
117,"Science, Byzantine",Maria Mavroudi,N/A,N/A,First published:26 October 2012,https://onlinelibrary.wiley.com/doi/10.1002/9781444338386.wbeah03209
118,"Engineering Design-BasedScience,ScienceContent Performance, andScienceAttitudes in Elementary School","Kristen Bethke Wendell, Chris Rogers",Journal of Engineering Education,"Volume 102, Issue 4",First published:27 November 2013,https://onlinelibrary.wiley.com/doi/10.1002/jee.20026
119,Creating engineering design integratedscienceunits and lessons,"Frackson Mumba, Jennie Chiu, Reid Bailey",SchoolScienceand Mathematics,Early View,First published:27 February 2025,https://onlinelibrary.wiley.com/doi/10.1111/ssm.18346
120,Perspectives onScience,,N/A,N/A,First published:24 April 2015,https://onlinelibrary.wiley.com/doi/10.1002/9781118840108.ch2
121,A Guide to International HydrologicSciencePrograms,"R G Lawford, S Eden",N/A,N/A,First published:15 April 2006,https://onlinelibrary.wiley.com/doi/10.1002/0470848944.hsa214
122,"Reforming Theology, ReframingScience","Ann Milliken Pederson, Philip Hefner",Dialog,"Volume 46, Issue 3",First published:30 September 2007,https://onlinelibrary.wiley.com/doi/10.1111/j.1540-6385.2007.00331.x
123,FeministScienceStudies,"Samantha M. Archer, A.E. Kohler",N/A,N/A,First published:27 November 2020,https://onlinelibrary.wiley.com/doi/10.1002/9781119314967.ch14
124,Scienceand Revolution,Clifford D. Conner,N/A,N/A,First published:20 April 2009,https://onlinelibrary.wiley.com/doi/10.1002/9781405198073.wbierp1319
125,Expectancy-value and children'sscienceachievement: Parents matter,"Julie A. Thomas, Kamden K. Strunk",Journal of Research inScienceTeaching,"Volume 54, Issue 6",First published:03 February 2017,https://onlinelibrary.wiley.com/doi/10.1002/tea.21382
126,Paradoxes ofscienceas a system: (Fragments from the philosophy ofscience),Thomas A. Cowan,Systems Research,"Volume 7, Issue 2",First published:June 1990,https://onlinelibrary.wiley.com/doi/10.1002/sres.3850070201
127,Standing on the shoulders ofscience,"Joshua L. Krieger, Monika Schnitzer, Martin Watzinger",Strategic Management Journal,"Volume 45, Issue 9",First published:25 March 2024,https://onlinelibrary.wiley.com/doi/10.1002/smj.3598
128,Performing?Science?,,Nachrichten aus der Chemie,"Volume 59, Issue 12",First published:03 January 2012,https://onlinelibrary.wiley.com/doi/10.1002/nadc.201290010
